"timestamp","forecast_price","forecast_provider","forecast_model","market_profile_id","market_time_unit_minutes","forecast_solar_mw","site_export_limit_mw","scenario_note"
"2026-06-17 00:00:00","46","mock_solar_battery","solar_shift_demo","de_lu_day_ahead","15","0.0","18.0","night_idle"
"2026-06-17 00:15:00","46","mock_solar_battery","solar_shift_demo","de_lu_day_ahead","15","0.0","18.0","night_idle"
"2026-06-17 00:30:00","46","mock_solar_battery","solar_shift_demo","de_lu_day_ahead","15","0.0","18.0","night_idle"
"2026-06-17 00:45:00","46","mock_solar_battery","solar_shift_demo","de_lu_day_ahead","15","0.0","18.0","night_idle"
"2026-06-17 01:00:00","41","mock_solar_battery","solar_shift_demo","de_lu_day_ahead","15","0.0","18.0","night_idle"
"2026-06-17 01:15:00","41","mock_solar_battery","solar_shift_demo","de_lu_day_ahead","15","0.0","18.0","night_idle"
"2026-06-17 01:30:00","41","mock_solar_battery","solar_shift_demo","de_lu_day_ahead","15","0.0","18.0","night_idle"
"2026-06-17 01:45:00","41","mock_solar_battery","solar_shift_demo","de_lu_day_ahead","15","0.0","18.0","night_idle"
"2026-06-17 02:00:00","37","mock_solar_battery","solar_shift_demo","de_lu_day_ahead","15","0.0","18.0","night_low"
"2026-06-17 02:15:00","37","mock_solar_battery","solar_shift_demo","de_lu_day_ahead","15","0.0","18.0","night_low"
"2026-06-17 02:30:00","37","mock_solar_battery","solar_shift_demo","de_lu_day_ahead","15","0.0","18.0","night_low"
"2026-06-17 02:45:00","37","mock_solar_battery","solar_shift_demo","de_lu_day_ahead","15","0.0","18.0","night_low"
"2026-06-17 03:00:00","34","mock_solar_battery","solar_shift_demo","de_lu_day_ahead","15","0.0","18.0","night_low"
"2026-06-17 03:15:00","34","mock_solar_battery","solar_shift_demo","de_lu_day_ahead","15","0.0","18.0","night_low"
"2026-06-17 03:30:00","34","mock_solar_battery","solar_shift_demo","de_lu_day_ahead","15","0.0","18.0","night_low"
"2026-06-17 03:45:00","34","mock_solar_battery","solar_shift_demo","de_lu_day_ahead","15","0.0","18.0","night_low"
"2026-06-17 04:00:00","38","mock_solar_battery","solar_shift_demo","de_lu_day_ahead","15","0.1","18.0","dawn"
"2026-06-17 04:15:00","38","mock_solar_battery","solar_shift_demo","de_lu_day_ahead","15","0.1","18.0","dawn"
"2026-06-17 04:30:00","38","mock_solar_battery","solar_shift_demo","de_lu_day_ahead","15","0.1","18.0","dawn"
"2026-06-17 04:45:00","38","mock_solar_battery","solar_shift_demo","de_lu_day_ahead","15","0.1","18.0","dawn"
"2026-06-17 05:00:00","52","mock_solar_battery","solar_shift_demo","de_lu_day_ahead","15","1.2","18.0","dawn_ramp"
"2026-06-17 05:15:00","52","mock_solar_battery","solar_shift_demo","de_lu_day_ahead","15","1.2","18.0","dawn_ramp"
"2026-06-17 05:30:00","52","mock_solar_battery","solar_shift_demo","de_lu_day_ahead","15","1.2","18.0","dawn_ramp"
"2026-06-17 05:45:00","52","mock_solar_battery","solar_shift_demo","de_lu_day_ahead","15","1.2","18.0","dawn_ramp"
"2026-06-17 06:00:00","65","mock_solar_battery","solar_shift_demo","de_lu_day_ahead","15","3.8","18.0","morning_export"
"2026-06-17 06:15:00","65","mock_solar_battery","solar_shift_demo","de_lu_day_ahead","15","3.8","18.0","morning_export"
"2026-06-17 06:30:00","65","mock_solar_battery","solar_shift_demo","de_lu_day_ahead","15","3.8","18.0","morning_export"
